,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aveiro,608.2,640.3,663.9,695,715.6,725.5,760,779.8,798,808,814,814.3,822.7,833.5,848.2,866.2,898.4,933.6,962.6,993.5,1052.8
Beja,560.9,577.6,611.2,616.5,632.4,663,697.2,727.1,749.8,752,763.2,768.3,766.7,771.6,774.8,798.4,825.4,846.8,870.7,905.3,947.7
Braga,527.4,553.7,573.3,596.3,613.8,633.7,665.8,687.8,717.7,725.6,733,732.1,739.2,743.7,761,787.6,818.1,855.1,897.3,943.6,988
Braganca,534.4,545.6,562.9,586.6,598,611.1,648.1,665.1,693.3,706.6,702.4,715.6,706,708.2,727,745.8,766.6,793.8,827.4,858.8,892.8
Castelo Branco,529.1,550.9,581.7,598.3,614.3,625.4,656.5,680.6,699.6,704.2,710.9,714.4,720.7,727.5,746.2,764.3,784.7,816.5,854.5,893.4,932.9
Coimbra,606,634.3,659.5,674.3,695.8,714.7,746.7,771.3,801.7,806.5,812.1,816.6,802.9,802.1,816.4,834.2,863,896.4,924.4,969.4,1016.1
Evora,585.2,609.6,641.6,658.3,678.6,696.2,721.1,735.7,766.8,776.4,782.2,789.2,791.9,796.5,804,819.6,839.2,861.1,898,931.8,984.1
Faro,589.1,622.3,648.9,670.3,691.6,715.4,741.7,763.4,789.3,791,790.6,785.9,780.5,781.1,793.8,811,836.1,861.1,897.2,928.4,965.8
Guarda,530.6,551.2,574.9,589.9,603,616,640,662.8,691.5,688.5,694.6,689.5,700,704.5,721.5,744.1,769.6,795,827,864.4,905.2
Leiria,600.5,623.1,647.2,670.8,689.3,713.5,742.4,760.8,780.8,787.1,792.2,788.8,794.3,799.9,815.1,833.7,861,887.4,918.1,961.2,1007.4
Lisboa,906.9,933.9,970.3,1004.2,1032.1,1053.6,1094.6,1114,1153.4,1153,1167.7,1160.9,1150.5,1151.6,1155.9,1171.9,1194.2,1230.1,1266.7,1312.1,1388.4
Portalegre,565.1,594.8,621.5,633,662.1,674.5,704.9,727.1,740.7,738.5,755.4,750.2,754.2,755.7,767.8,783.6,806,828.8,863.4,899.4,939.1
Porto,642,666.6,692.6,724.4,739.2,760.5,799.6,819.9,854,862.3,868.8,870.8,870.1,879.1,891.7,908.2,944.9,983.5,1030.3,1072.2,1135.7
Santarem,584.5,611.9,641.1,660.1,693,694.5,725.1,745.5,773.7,779.6,783.4,784,786.6,793.6,799.1,823,842.9,867.3,899.2,933,975.1
Setubal,674.8,703.1,719.2,743.4,769.8,800.9,834,861.6,917.3,941.7,964,951.5,945.4,959,979.5,989.5,1000,1024.5,1059.2,1079.7,1127.4
Viana do Castelo,522.4,550.1,574,598.6,611.9,633.3,664.5,695.1,709.4,719.7,722.5,726.6,729.9,741.7,746.7,782.3,802.9,835,865.8,907.4,955.7
Vila Real,544.3,566.1,585.8,633.5,624.7,631.1,655.4,686.9,710.7,718.5,730.9,737.1,740.8,744.1,756.4,776.7,799.2,826.8,851.9,878.4,927.8
Viseu,537.5,566.3,588.8,610,629.6,643.9,674,702.2,723.8,732.4,739.7,734,734.3,737.1,749.6,768.6,793.7,823,854.4,902.6,932.7
